1513920189.39121,012A,8,16,240,112,116,0,0,16,128,R
1513920189.39677,00AA,8,43,229,44,90,66,83,165,0,R
1513920189.39698,00BE,6,0,0,0,3,232,0,0,0,R
1513920189.39722,00C9,8,132,13,50,0,0,0,24,0,R
1513920189.39746,018E,8,0,0,0,105,214,156,6,156,R
1513920189.39768,01A1,7,0,0,1,65,106,106,0,0,R
1513920189.39792,191,8,6,157,6,171,6,156,0,0,R
1513920189.39817,00C1,8,0,0,0,0,0,0,0,0,R
1513920189.39842,00C5,8,0,0,0,0,0,0,0,0,R
1513920189.39859,00C7,4,0,0,0,0,0,0,0,0,R
1513920189.39882,00D1,7,0,0,0,0,0,0,0,0,R
1513920189.39902,00F1,6,28,1,0,64,0,0,0,0,R
1513920189.39928,00F9,8,0,0,64,0,0,0,0,0,R
1513920189.39939,01A3,1,128,0,0,0,0,0,0,0,R
1513920189.39961,01AA,7,0,104,118,137,106,176,0,0,R
1513920189.39984,100000,8,92,0,145,63,246,0,2,94,R
1513920189.40007,01BA,8,6,154,105,166,139,105,183,33,R
1513920189.40031,01C3,8,6,157,6,155,255,16,0,3,R
1513920189.40056,01C4,8,0,98,192,48,0,0,0,0,R
1513920189.40074,01DF,4,128,2,0,0,0,0,0,0,R
1513920189.40096,01F4,6,0,32,0,0,0,0,0,0,R
1513920189.4012,135,8,0,0,31,2,12,17,0,0,R
1513920189.40144,02C3,8,7,73,6,135,0,0,80,0,R
1513920189.40169,03C1,8,7,101,247,0,0,0,0,0,R
1513920189.40194,03D1,8,0,61,128,0,0,22,0,0,R
1513920189.40219,03D3,8,128,0,32,0,63,255,95,0,R
1513920189.40233,03D9,2,2,0,0,0,0,0,0,0,R
1513920189.40258,3000000000,8,0,0,0,0,0,0,0,0,R
1513920189.4035,10,7,0,0,0,0,3,0,0,0,R
1513920189.40591,451,6,0,0,0,0,0,0,0,0,R
1513920189.40818,00C1,8,16,0,0,0,16,0,0,0,R
1513920189.40843,00C5,8,16,0,0,0,16,0,0,0,R
1513920189.40866,00D1,7,64,0,127,255,0,255,0,0,R
1513920189.40886,00F1,6,40,1,0,64,0,0,0,0,R
1513920189.409,185,2,27,251,0,0,0,0,0,0,R
1513920189.40923,00AA,8,43,229,44,90,68,83,164,0,R
1513920189.40945,01C7,7,0,0,255,253,0,0,63,0,R
1513920189.40966,00BE,6,4,0,0,3,233,255,0,0,R
1513920189.40989,100000,8,92,0,145,80,0,0,1,121,R
1513920189.41013,00C9,8,132,13,44,7,0,0,24,0,R
1513920189.41038,1000000000,8,0,16,0,14,15,254,0,0,R
1513920189.41062,018E,8,0,0,0,105,214,156,6,156,R
1513920189.41086,232,8,0,0,0,32,0,0,0,0,R
1513920189.41103,00C7,4,0,0,0,0,0,0,0,0,R
